Hour,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),Seasons,Holiday,hour diff,Functioning Day,rental_cnt
1,13.85,72,1.03,10000.0,8.89,0.0,0.0,1,1,55753.0,1,1536
10,20.84,43,1.54,10000.0,7.81,0.0,0.0,1,1,56026.0,1,4601
12,17.47,59,5.14,10000.0,9.38,0.0,0.0,1,1,56004.0,1,7649
13,15.16,58,4.63,10000.0,6.96,0.0,0.0,1,1,55597.0,1,6184
8,19.56,24,6.69,10000.0,-1.36,0.0,0.0,1,1,55664.0,1,3303
12,16.7,66,1.41,9150.339366515836,10.32,0.0,0.0,1,1,56148.0,1,8640
0,11.67,38,2.06,10000.0,-1.91,0.0,0.0,1,1,55536.0,1,2172
8,22.8,43,4.12,10000.0,9.58,0.0,0.0,1,1,56120.0,1,12547
4,17.75,47,4.12,10000.0,6.3,0.21,0.0,1,1,55612.0,1,967
20,9.54,87,1.03,10000.0,7.49,0.0,0.0,1,1,55772.0,1,8717
3,14.5,77,3.09,7000.0,10.52,0.0,0.0,1,1,55875.0,1,369
17,13.13,76,2.06,10000.0,9.0,0.0,0.0,1,1,55961.0,1,13217
9,19.36,42,3.6,10000.0,6.14,0.0,0.0,1,1,55761.0,1,6065
19,9.63,87,1.54,10000.0,7.57,0.0,0.0,1,1,55771.0,1,10329
22,12.06,93,0.51,5000.0,10.96,0.0,0.0,1,1,56134.0,1,6867
23,15.53,55,5.66,10000.0,6.54,0.0,0.0,1,1,56039.0,1,3920
13,12.13,91,1.02,9150.339366515836,10.71,0.0,0.0,1,1,55885.0,1,5054
13,15.48,82,2.06,9000.0,12.42,0.0,0.0,1,1,56221.0,1,6573
8,19.02,42,4.63,10000.0,5.83,0.0,0.0,1,1,55904.0,1,12360
20,9.54,87,1.03,10000.0,7.49,0.0,0.0,1,1,55772.0,1,8717
11,14.5,38,2.57,10000.0,0.36,0.0,0.0,1,1,55715.0,1,5847
1,13.9,23,1.03,10000.0,-6.11,0.0,0.0,1,1,55657.0,1,2248
16,13.69,82,2.06,10000.0,10.68,0.34,0.0,1,1,55984.0,1,521
22,11.13,50,2.06,10000.0,1.11,0.0,0.0,1,1,55606.0,1,6390
16,7.44,73,1.46,9150.339366515836,2.92,0.0,0.0,1,1,55648.0,1,11856
1,17.68,63,2.06,9000.0,10.56,0.0,0.0,1,1,56209.0,1,2005
7,20.91,47,1.84,9150.339366515836,9.19,0.0,0.0,1,1,55543.0,1,9158
0,16.44,45,5.14,10000.0,4.49,0.0,0.0,1,1,56016.0,1,2349
9,19.89,52,3.6,10000.0,9.75,0.0,0.0,1,1,56049.0,1,7114
5,24.64,36,2.57,10000.0,8.59,0.0,0.0,1,1,56189.0,1,1644
19,15.53,55,3.6,10000.0,6.54,0.0,0.0,1,1,56011.0,1,7122
12,14.8,58,3.6,10000.0,6.63,0.0,0.0,1,1,55596.0,1,6380
5,18.37,20,5.14,10000.0,-4.41,0.0,0.0,1,1,55517.0,1,1331
6,26.84,34,5.14,10000.0,9.68,0.0,0.0,1,1,55806.0,1,1528
7,20.91,47,1.84,9150.339366515836,9.19,0.0,0.0,1,1,55543.0,1,9158
0,13.13,67,5.14,10000.0,7.15,0.0,0.0,1,0,55728.0,1,3595
16,13.69,82,2.06,10000.0,10.68,0.34,0.0,1,1,55984.0,1,521
15,13.62,78,1.73,9150.339366515836,9.86,0.0,0.0,1,1,55695.0,1,6955
10,17.06,63,3.09,10000.0,9.97,0.0,0.0,1,1,55786.0,1,5320
23,12.85,62,2.06,10000.0,5.76,0.0,0.0,1,1,55583.0,1,3713
21,8.92,78,0.59,9150.339366515836,5.3,0.0,0.0,1,1,55677.0,1,5986
23,17.86,72,4.12,10000.0,12.75,1.02,0.0,1,1,55847.0,1,3651
20,11.78,66,1.54,10000.0,5.64,0.0,0.0,1,1,55580.0,1,8547
11,13.35,66,2.57,10000.0,7.14,0.0,0.0,1,1,55907.0,1,5559
16,11.77,88,0.58,9150.339366515836,9.85,0.0,0.0,1,1,55912.0,1,8519
6,16.08,82,4.19,9150.339366515836,13.01,0.25,0.0,1,1,55974.0,1,1632
5,26.96,32,2.06,10000.0,8.88,0.0,0.0,1,1,56165.0,1,854
15,6.85,56,1.03,10000.0,-1.16,0.0,0.0,1,1,55527.0,1,6702
9,19.85,55,4.12,10000.0,10.56,0.0,0.0,1,1,55785.0,1,6828
