,Hour,dayofweek,Temperature(C),Humidity(%),Wind speed (m/s),Visibility (10m),Dew point temperature(C),Rainfall(mm),Snowfall (cm),hour diff,isWeekend,Holiday,weather_Clouds,weather_Drizzle,weather_Dust,weather_Fog,weather_Haze,weather_Mist,weather_Rain,weather_Snow,weather_Thunderstorm,rental_cnt
617,1,4,29.28,82,4.12,10000.0,25.89,0.0,0.0,58465.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,2040
618,6,4,30.96,70,4.12,10000.0,24.84,0.1,0.0,58974.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,3825
619,2,6,32.96,66,2.06,10000.0,25.76,0.0,0.0,58514.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1509
620,5,2,34.35,66,4.12,10000.0,27.07,0.0,0.0,58757.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2062
621,15,2,27.06,94,1.54,10000.0,26.01,0.0,0.0,58599.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4443
622,11,2,28.37,84,4.12,10000.0,25.4,0.45,0.0,58931.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1336
623,4,6,32.5,55,3.6,10000.0,22.29,0.0,0.0,58684.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,778
624,12,5,25.01,89,2.06,10000.0,23.07,0.0,0.0,59172.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6043
625,13,3,26.75,65,3.6,10000.0,19.62,0.0,0.0,59125.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4531
626,20,6,26.93,100,1.03,8000.0,26.93,0.0,0.0,58700.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6615
627,3,0,32.2,64,2.06,10000.0,24.52,0.0,0.0,58539.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,588
628,21,4,26.6,100,0.51,8000.0,26.6,0.0,0.0,58821.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7604
629,4,2,31.21,51,3.6,10000.0,19.87,0.0,0.0,59092.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920
630,17,2,24.29,69,2.57,10000.0,18.24,0.0,0.0,59105.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11267
631,11,0,27.79,94,2.57,10000.0,26.73,0.0,0.0,59051.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4652
632,18,4,27.48,100,1.54,6000.0,27.48,0.0,0.0,58482.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12485
633,13,2,27.45,89,0.75,9150.339366515836,25.47,0.0,0.0,58765.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4145
634,13,3,26.75,65,3.6,10000.0,19.62,0.0,0.0,59125.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4531
635,12,2,27.94,94,2.57,10000.0,26.88,0.0,0.0,58596.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4388
636,18,4,25.83,94,1.17,9150.339366515836,24.79,0.0,0.0,58986.0,0,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13640
637,23,5,28.63,84,2.57,10000.0,25.66,0.0,0.0,58847.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3865
638,14,5,24.03,100,1.03,10000.0,24.03,0.0,0.0,59174.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5721
639,4,2,31.21,51,3.6,10000.0,19.87,0.0,0.0,59092.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,920
640,3,6,26.29,50,4.12,10000.0,15.05,0.0,0.0,59859.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1348
641,17,3,19.22,100,2.06,10000.0,19.22,0.0,0.0,59801.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13018
642,19,1,22.29,73,3.09,10000.0,17.22,0.0,0.0,59251.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11936
643,4,6,29.36,74,4.39,9150.339366515836,24.24,0.0,0.0,59524.0,1,0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,813
644,16,2,26.62,95,2.57,4000.0,25.75,0.0,0.0,59440.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,6760
645,14,3,25.03,100,2.57,10000.0,25.03,0.15,0.0,59462.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,654
646,23,5,23.28,100,1.03,5000.0,23.28,0.0,0.0,59351.0,1,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,5018
647,1,3,25.96,100,1.54,7000.0,25.96,2.34,0.0,59449.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,954
648,18,2,25.66,89,2.06,10000.0,23.71,0.0,0.0,59610.0,0,1,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8209
